settlement_id,payment_id,settled_amount,currency,status,settled_at
SET-50001,1,1000.00,INR,settled,2026-09-05T12:15:32Z
SET-50002,3,1250.00,INR,settled,2026-09-05T13:15:32Z
SET-50003,4,1800.00,INR,settled,2026-09-05T13:15:32Z
SET-50004,5,2400.00,USD,settled,2026-09-05T13:15:32Z
SET-50005,6,3200.00,GBP,settled,2026-09-05T07:15:32Z
SET-50006,7,4500.00,CAD,settled,2026-09-05T07:15:32Z
SET-50007,8,5200.00,INR,settled,2026-09-05T07:15:32Z
SET-50008,9,1000.00,INR,settled,2026-09-05T07:15:32Z
SET-50009,10,1250.00,INR,settled,2026-09-05T07:15:32Z
SET-50010,11,1800.00,USD,settled,2026-09-05T07:15:32Z
SET-50011,12,2400.00,GBP,settled,2026-09-05T01:15:32Z
SET-50012,13,3200.00,CAD,settled,2026-09-05T01:15:32Z
SET-50013,14,4500.00,INR,settled,2026-09-05T01:15:32Z
SET-50014,15,5200.00,INR,settled,2026-09-05T01:15:32Z
SET-50015,16,1000.00,INR,settled,2026-09-05T01:15:32Z
SET-50016,17,1250.00,USD,settled,2026-09-05T01:15:32Z
SET-50017,18,1800.00,GBP,settled,2026-09-04T19:15:32Z
SET-50018,19,2400.00,CAD,settled,2026-09-04T19:15:32Z
SET-50019,20,3200.00,INR,settled,2026-09-04T19:15:32Z
SET-50020,21,4500.00,INR,settled,2026-09-04T19:15:32Z
SET-50021,22,5200.00,INR,settled,2026-09-04T19:15:32Z
SET-50022,23,1000.00,USD,settled,2026-09-04T19:15:32Z
SET-50023,24,1250.00,GBP,settled,2026-09-04T13:15:32Z
SET-50024,25,1800.00,CAD,settled,2026-09-04T13:15:32Z
SET-50025,26,2400.00,INR,settled,2026-09-04T13:15:32Z
SET-50026,27,3200.00,INR,settled,2026-09-04T13:15:32Z
SET-50027,28,4500.00,INR,settled,2026-09-04T13:15:32Z
SET-50028,29,5200.00,USD,settled,2026-09-04T13:15:32Z
SET-50029,30,1000.00,GBP,settled,2026-09-04T07:15:32Z
SET-50030,31,1250.00,CAD,settled,2026-09-04T07:15:32Z
SET-50031,32,1800.00,INR,settled,2026-09-04T07:15:32Z
SET-50032,33,2400.00,INR,settled,2026-09-04T07:15:32Z
SET-50033,34,3200.00,INR,settled,2026-09-04T07:15:32Z
SET-50034,35,4500.00,USD,settled,2026-09-04T07:15:32Z
SET-50035,36,5200.00,GBP,settled,2026-09-04T01:15:32Z
SET-50036,41,4800.00,INR,settled,2026-09-05T11:15:32Z
SET-50037,42,6000.00,INR,settled,2026-09-05T04:15:32Z
SET-50038,43,7300.00,INR,settled,2026-09-05T04:15:32Z
SET-50039,44,3900.00,USD,settled,2026-09-05T04:15:32Z
SET-50040,45,8800.00,INR,settled,2026-09-05T04:15:32Z
SET-50041,46,3400.00,GBP,settled,2026-09-05T04:15:32Z
SET-50042,47,3300.00,INR,settled,2026-09-05T04:15:32Z
SET-50043,48,5100.00,INR,settled,2026-09-05T04:15:32Z
SET-50044,49,6800.00,USD,settled,2026-09-05T04:15:32Z
SET-50045,50,3000.00,GBP,settled,2026-09-04T23:15:32Z
SET-50046,51,8300.00,INR,settled,2026-09-04T23:15:32Z
SET-50047,52,5500.00,USD,settled,2026-09-05T06:15:32Z
SET-50048,53,4300.00,CAD,settled,2026-09-05T06:15:32Z
SET-50049,54,7800.00,USD,settled,2026-09-05T00:15:32Z
SET-50050,55,2900.00,INR,settled,2026-09-05T00:15:32Z
SET-50051,56,2200.00,INR,settled,2026-09-05T00:15:32Z
SET-50052,57,6700.00,INR,settled,2026-09-05T00:15:32Z
SET-50053,58,3900.00,USD,settled,2026-09-05T00:15:32Z
SET-50054,59,5100.00,GBP,settled,2026-09-05T00:15:32Z
SET-50055,60,8400.00,INR,settled,2026-09-04T18:15:32Z
